geoid,county_name,component,component_score,recommendation_status,corridor
51065,Fluvanna County,commercial_activity,20.4149677193444,Traffic data unavailable,I-64 Charlottesville
51065,Fluvanna County,competition,88.16482975555874,Traffic data unavailable,I-64 Charlottesville
51065,Fluvanna County,overlap_risk,41.59554542702346,Traffic data unavailable,I-64 Charlottesville
51067,Franklin County,market_demand,52.218209420721834,Ineligible: no interstate access,Not in a screened corridor
51067,Franklin County,growth,29.063881091391735,Ineligible: no interstate access,Not in a screened corridor
51067,Franklin County,purchasing_power,22.726327534591444,Ineligible: no interstate access,Not in a screened corridor
51067,Franklin County,highway_opportunity,22.077925520125348,Ineligible: no interstate access,Not in a screened corridor
51067,Franklin County,accessibility,73.02388064056755,Ineligible: no interstate access,Not in a screened corridor
51067,Franklin County,commercial_activity,38.086115716865294,Ineligible: no interstate access,Not in a screened corridor
51067,Franklin County,competition,76.08416123827892,Ineligible: no interstate access,Not in a screened corridor
51067,Franklin County,overlap_risk,59.460248165684646,Ineligible: no interstate access,Not in a screened corridor
51069,Frederick County,market_demand,61.295645223531366,Priority candidate,I-81 Winchester / Frederick
51069,Frederick County,growth,75.50450324248288,Priority candidate,I-81 Winchester / Frederick
51069,Frederick County,purchasing_power,41.21247677883401,Priority candidate,I-81 Winchester / Frederick
51069,Frederick County,highway_opportunity,44.72001514417007,Priority candidate,I-81 Winchester / Frederick
51069,Frederick County,accessibility,90.1876706275983,Priority candidate,I-81 Winchester / Frederick
51069,Frederick County,commercial_activity,40.42399069430733,Priority candidate,I-81 Winchester / Frederick
51069,Frederick County,competition,84.9151089925553,Priority candidate,I-81 Winchester / Frederick
51069,Frederick County,overlap_risk,57.20731341700563,Priority candidate,I-81 Winchester / Frederick
51071,Giles County,market_demand,34.183139981504695,Ineligible: no interstate access,I-81 New River Valley
51071,Giles County,growth,31.306327305696016,Ineligible: no interstate access,I-81 New River Valley
51071,Giles County,purchasing_power,17.84291479445967,Ineligible: no interstate access,I-81 New River Valley
51071,Giles County,highway_opportunity,17.437465161364944,Ineligible: no interstate access,I-81 New River Valley
51071,Giles County,accessibility,74.80818782936487,Ineligible: no interstate access,I-81 New River Valley
51071,Giles County,commercial_activity,22.439405277550595,Ineligible: no interstate access,I-81 New River Valley
51071,Giles County,competition,51.95615091310455,Ineligible: no interstate access,I-81 New River Valley
51071,Giles County,overlap_risk,96.64194556896452,Ineligible: no interstate access,I-81 New River Valley
51073,Gloucester County,market_demand,47.975315127576465,Overlap constrained,Not in a screened corridor
51073,Gloucester County,growth,58.19081859992154,Overlap constrained,Not in a screened corridor
51073,Gloucester County,purchasing_power,32.246090990062676,Overlap constrained,Not in a screened corridor
51073,Gloucester County,highway_opportunity,20.903746248964254,Overlap constrained,Not in a screened corridor
51073,Gloucester County,accessibility,83.27941143906412,Overlap constrained,Not in a screened corridor
51073,Gloucester County,commercial_activity,36.9956842110301,Overlap constrained,Not in a screened corridor
51073,Gloucester County,competition,77.26390163488664,Overlap constrained,Not in a screened corridor
51073,Gloucester County,overlap_risk,21.216493136811135,Overlap constrained,Not in a screened corridor
51075,Goochland County,market_demand,39.93195622582117,Priority candidate,I-64 Richmond West
51075,Goochland County,growth,92.72919601374709,Priority candidate,I-64 Richmond West
51075,Goochland County,purchasing_power,69.00503180874239,Priority candidate,I-64 Richmond West
51075,Goochland County,highway_opportunity,44.55147974621739,Priority candidate,I-64 Richmond West
51075,Goochland County,accessibility,93.90456142555813,Priority candidate,I-64 Richmond West
51075,Goochland County,commercial_activity,32.167684591526935,Priority candidate,I-64 Richmond West
51075,Goochland County,competition,76.1745337654056,Priority candidate,I-64 Richmond West
51075,Goochland County,overlap_risk,43.731468607593015,Priority candidate,I-64 Richmond West
51077,Grayson County,market_demand,31.57688719725008,Ineligible: no interstate access,Not in a screened corridor
51077,Grayson County,growth,24.794060100816672,Ineligible: no interstate access,Not in a screened corridor
51077,Grayson County,purchasing_power,2.218970639589494,Ineligible: no interstate access,Not in a screened corridor
51077,Grayson County,highway_opportunity,13.138084025786636,Ineligible: no interstate access,Not in a screened corridor
51077,Grayson County,accessibility,72.04021376625143,Ineligible: no interstate access,Not in a screened corridor
51077,Grayson County,commercial_activity,10.048901667457123,Ineligible: no interstate access,Not in a screened corridor
51077,Grayson County,competition,75.49217951228002,Ineligible: no interstate access,Not in a screened corridor
51077,Grayson County,overlap_risk,95.45065972839083,Ineligible: no interstate access,Not in a screened corridor
51079,Greene County,market_demand,37.82147955156897,Overlap constrained,Not in a screened corridor
51079,Greene County,growth,67.12512623127473,Overlap constrained,Not in a screened corridor
51079,Greene County,purchasing_power,33.465703418095,Overlap constrained,Not in a screened corridor
51079,Greene County,highway_opportunity,16.103979366960946,Overlap constrained,Not in a screened corridor
51079,Greene County,accessibility,69.84538916375726,Overlap constrained,Not in a screened corridor
51079,Greene County,commercial_activity,24.41803577156649,Overlap constrained,Not in a screened corridor
51079,Greene County,competition,79.73741007194245,Overlap constrained,Not in a screened corridor
51079,Greene County,overlap_risk,20.910768713110123,Overlap constrained,Not in a screened corridor
51081,Greensville County,market_demand,26.297881868210894,Watchlist,I-95 / I-85 Southside
